ID		Date			Time
--------------------------------
111		Apr 15 2015		18:07:07
111		Apr 15 2015		18:08:21
555		Apr 15 2015		18:08:27
555		Apr 15 2015		18:08:43
111		Apr 15 2015		18:53:23
111		Apr 15 2015		18:56:21
111		Apr 15 2015		18:56:56
111		Apr 15 2015		18:57:01
111		Apr 15 2015		18:57:07
111		Apr 15 2015		18:59:04
222		Apr 15 2015		18:59:13
222		Apr 15 2015		19:00:16
222		Apr 15 2015		19:00:19
222		Apr 15 2015		19:05:24
222		Apr 15 2015		19:05:27
333		Apr 15 2015		19:05:50
444		Apr 15 2015		19:07:45
333		Apr 15 2015		19:11:03
333		Apr 15 2015		19:11:22
333		Apr 15 2015		19:11:28
333		Apr 15 2015		19:12:09
333		Apr 15 2015		19:13:02
333		Apr 15 2015		19:13:50
333		Apr 15 2015		19:14:29
333		Apr 15 2015		19:14:40
333		Apr 15 2015		19:16:56
333		Apr 15 2015		19:17:36
222		Apr 15 2015		19:18:41
222		Apr 15 2015		19:20:21
222		Apr 15 2015		19:20:41
333		Apr 15 2015		19:20:53
444		Apr 15 2015		19:21:03
333		Apr 15 2015		19:22:56
555		Apr 15 2015		20:27:22
333		Apr 16 2015		23:09:34
444		Apr 16 2015		23:11:48
555		Apr 16 2015		23:13:08
111		Apr 16 2015		23:13:35
444		Apr 16 2015		23:25:41
111		Apr 16 2015		23:32:59
111		Apr 16 2015		23:33:30
111		Apr 16 2015		23:34:12
222		Apr 16 2015		23:37:36
111		Apr 16 2015		23:45:05
111		Apr 16 2015		23:48:10
333		Apr 16 2015		23:51:54
111		Apr 16 2015		23:54:16
111		Apr 16 2015		23:55:16
333		Apr 16 2015		23:56:47
222		Apr 16 2015		23:58:23
222		Apr 17 2015		00:04:48
555		Apr 17 2015		04:23:35
999		Apr 17 2015		04:35:48
999		Apr 17 2015		04:37:01
999		Apr 17 2015		04:40:28
111		Apr 17 2015		11:44:25
111		Apr 17 2015		11:45:37
333		Apr 17 2015		12:06:36
111		Apr 17 2015		12:47:57
111		Apr 17 2015		12:54:53
444		Apr 17 2015		14:04:47
